word,reading,meaning,part_of_speech,example_sentence,jlpt_level,tags,audio_file
公園,こうえん,公园,名词,公園を使った例文です。,N5,"[""基础词汇"", ""日常用语""]",kouen.mp3
完成,かんせい,完成,名词,完成を使った例文です。,N3,"[""基础词汇"", ""日常用语""]",kansei.mp3
美しい,うつくしい,美丽的,名词,美しいを使った例文です。,N4,"[""基础词汇"", ""日常用语""]",utsukushii.mp3
伝統,でんとう,传统,名词,伝統を使った例文です。,N3,"[""基础词汇"", ""日常用语""]",dentou.mp3
祭り,まつり,节日,名词,祭りを使った例文です。,N4,"[""基础词汇"", ""日常用语""]",matsuri.mp3
着物,きもの,和服,名词,着物を使った例文です。,N4,"[""基础词汇"", ""日常用语""]",kimono.mp3
電車,でんしゃ,电车,名词,電車を使った例文です。,N5,"[""基础词汇"", ""日常用语""]",densha.mp3
路線,ろせん,路线,名词,路線を使った例文です。,N3,"[""基础词汇"", ""日常用语""]",rosen.mp3
料理,りょうり,料理,名词,料理を使った例文です。,N5,"[""基础词汇"", ""日常用语""]",ryouri.mp3
野菜,やさい,蔬菜,名词,野菜を使った例文です。,N5,"[""基础词汇"", ""日常用语""]",yasai.mp3
